ID,SEMANA,SALA,DISCIPLINA,QTD_AULAS_SEMANA,PRESENÇAS,FALTAS,ATRASO15,ATRASO30
01_A,1,A,LITERATURA,1,9,63,0,1
01_A,1,A,INTERTEXTO,1,21,50,2,0
01_A,1,A,GEOGRAFIA,1,12,47,5,9
01_A,1,A,BIOLOGIA,1,11,61,1,0
01_A,1,A,SOCIOLOGIA,1,4,69,0,0
01_A,1,A,FÍSICA,1,10,40,17,6
01_A,1,A,QUÍMICA,1,10,63,0,0
01_A,1,A,HISTÓRIA,1,6,67,0,0
01_A,1,A,REDAÇÃO,1,21,35,6,11
01_A,1,A,MATEMÁTICA,2,25,89,18,14
01_A,1,A,FILOSOFIA,0,0,0,0,0
01_A,1,A,PORTUGUÊS,1,10,38,17,1
01_B,1,B,LITERATURA,1,14,46,9,2
01_B,1,B,INTERTEXTO,1,23,47,0,1
01_B,1,B,GEOGRAFIA,1,12,58,1,0
01_B,1,B,BIOLOGIA,1,15,46,6,4
01_B,1,B,SOCIOLOGIA,1,17,40,12,2
01_B,1,B,FÍSICA,1,9,62,0,0
01_B,1,B,QUÍMICA,1,10,52,7,2
01_B,1,B,HISTÓRIA,1,14,43,8,6
01_B,1,B,REDAÇÃO,1,19,51,0,0
01_B,1,B,MATEMÁTICA,2,27,110,5,0
01_B,1,B,FILOSOFIA,0,0,0,0,0
01_B,1,B,PORTUGUÊS,1,6,65,0,0
02_A,2,A,LITERATURA,0,0,0,0,0
02_A,2,A,INTERTEXTO,1,26,42,5,0
02_A,2,A,GEOGRAFIA,1,19,40,9,5
02_A,2,A,BIOLOGIA,1,18,55,0,0
02_A,2,A,SOCIOLOGIA,0,0,0,0,0
02_A,2,A,FÍSICA,2,16,57,0,0
02_A,2,A,QUÍMICA,1,22,51,0,0
02_A,2,A,HISTÓRIA,1,19,51,3,0
02_A,2,A,REDAÇÃO,1,29,35,9,0
02_A,2,A,MATEMÁTICA,2,41,75,21,9
02_A,2,A,FILOSOFIA,1,0,0,0,0
02_A,2,A,PORTUGUÊS,1,17,56,0,0
02_B,2,B,LITERATURA,0,0,0,0,0
02_B,2,B,INTERTEXTO,1,35,33,2,1
02_B,2,B,GEOGRAFIA,1,15,56,0,0
02_B,2,B,BIOLOGIA,1,21,37,8,5
02_B,2,B,SOCIOLOGIA,0,0,0,0,0
02_B,2,B,FÍSICA,2,17,39,9,6
02_B,2,B,QUÍMICA,1,23,48,0,0
02_B,2,B,HISTÓRIA,1,24,41,4,2
02_B,2,B,REDAÇÃO,1,29,40,2,0
02_B,2,B,MATEMÁTICA,2,40,98,0,3
02_B,2,B,FILOSOFIA,1,0,0,0,0
02_B,2,B,PORTUGUÊS,1,23,48,0,0
03_A,3,A,LITERATURA,1,17,50,11,0
03_A,3,A,INTERTEXTO,1,0,0,0,0
03_A,3,A,GEOGRAFIA,1,21,48,5,4
03_A,3,A,BIOLOGIA,1,24,54,0,0
03_A,3,A,SOCIOLOGIA,1,18,60,0,0
03_A,3,A,FÍSICA,1,20,39,14,5
03_A,3,A,QUÍMICA,1,20,55,3,0
03_A,3,A,HISTÓRIA,1,34,44,0,0
03_A,3,A,REDAÇÃO,1,34,28,15,1
03_A,3,A,MATEMÁTICA,2,62,72,20,2
03_A,3,A,FILOSOFIA,0,0,0,0,0
03_A,3,A,PORTUGUÊS,1,19,46,4,9
03_B,3,B,LITERATURA,1,17,48,5,6
03_B,3,B,INTERTEXTO,1,30,35,11,0
03_B,3,B,GEOGRAFIA,1,18,58,0,0
03_B,3,B,BIOLOGIA,1,17,45,11,3
03_B,3,B,SOCIOLOGIA,1,16,48,6,6
03_B,3,B,FÍSICA,1,15,56,2,2
03_B,3,B,QUÍMICA,1,16,47,8,4
03_B,3,B,HISTÓRIA,1,33,43,0,0
03_B,3,B,REDAÇÃO,1,0,0,0,0
03_B,3,B,MATEMÁTICA,2,51,94,5,1
03_B,3,B,FILOSOFIA,0,0,0,0,0
03_B,3,B,PORTUGUÊS,1,18,57,1,0
